STEP,LAPV,TENG,LAPM,S3,prevF,nextF,MV_STEP,ratio,trend,IMG_PATH,due
4,1170.91007,14402.26355,9.36121,0.35875,1179.59471,1178.56359,-3,0.9926376068607495,down,/home/pi/arducam/album-V2/IMG_1593338506.png,big
5,1178.56359,16636.57947,9.51086,0.37595,1170.91007,839.84841,-4,1.006536385838752,up,/home/pi/arducam/album-V2/IMG_1593338509.png,big
6,839.84841,17315.49768,8.43127,0.24772,1178.56359,496.50977,-5,0.7126033903694581,down,/home/pi/arducam/album-V2/IMG_1593338511.png,big
7,496.50977,15596.37317,7.40137,0.16235,839.84841,331.49834,-6,0.5911897481594328,down,/home/pi/arducam/album-V2/IMG_1593338513.png,big
8,331.49834,13446.68408,6.12195,0.09151,496.50977,238.99187,-7,0.6676572346199753,down,/home/pi/arducam/album-V2/IMG_1593338516.png,big
9,238.99187,11580.19299,5.22754,0.05583,331.49834,210.40043,-8,0.7209443944726843,down,/home/pi/arducam/album-V2/IMG_1593338518.png,big
10,210.40043,10716.33398,4.89392,0.04281,238.99187,210.40043,-9,0.880366474390949,down,/home/pi/arducam/album-V2/IMG_1593338520.png,big
1,1648.3269,17330.97961,9.46045,0.41126,1648.3269,1649.91364,4,0,up,/home/pi/arducam/album-V2/IMG_1593338689.png,big
2,1649.91364,17362.29517,9.47656,0.40273,1648.3269,1657.38657,3,1.0009626367196944,up,/home/pi/arducam/album-V2/IMG_1593338692.png,big
3,1657.38657,17420.2406,9.45483,0.42637,1649.91364,1626.50348,2,1.0045292855449088,up,/home/pi/arducam/album-V2/IMG_1593338694.png,small
4,1626.50348,16895.19934,9.4563,0.39728,1657.38657,1694.26829,1,0.9813663929954496,down,/home/pi/arducam/album-V2/IMG_1593338696.png,small
5,1694.26829,19449.67566,9.73718,0.42207,1626.50348,1082.72785,0,1.0416628742780187,up,/home/pi/arducam/album-V2/IMG_1593338698.png,small
6,1082.72785,20142.58276,7.70325,0.3101,1694.26829,647.89456,-1,0.639053363856559,down,/home/pi/arducam/album-V2/IMG_1593338701.png,small
7,647.89456,18050.77576,6.99072,0.23322,1082.72785,429.71617,-2,0.5983909622348773,down,/home/pi/arducam/album-V2/IMG_1593338703.png,small
8,429.71617,15347.0072,6.00085,0.15026,647.89456,320.04617,-3,0.6632501590999622,down,/home/pi/arducam/album-V2/IMG_1593338705.png,big
9,320.04617,13092.67175,5.15674,0.10481,429.71617,270.99607,-4,0.7447850286853297,down,/home/pi/arducam/album-V2/IMG_1593338708.png,big
10,270.99607,12037.13074,4.84424,0.06383,320.04617,270.99607,-5,0.8467405499650252,down,/home/pi/arducam/album-V2/IMG_1593338710.png,big
1,2068.4647,18662.46338,10.41577,0.36085,2068.4647,2068.75868,1,0,up,/home/pi/arducam/album-V2/IMG_1593338951.png,small
2,2068.75868,18684.44238,10.40454,0.36321,2068.4647,2064.79189,0,1.0001421247362838,up,/home/pi/arducam/album-V2/IMG_1593338953.png,small
3,2064.79189,18693.26599,10.38867,0.37617,2068.75868,2005.56032,-1,0.9980825264742818,down,/home/pi/arducam/album-V2/IMG_1593338956.png,small
4,2005.56032,17953.54419,10.36658,0.3536,2064.79189,1975.19362,-2,0.9713135399810197,down,/home/pi/arducam/album-V2/IMG_1593338958.png,small
5,1975.19362,20057.2865,10.63733,0.41162,2005.56032,1396.58662,-3,0.9848587451111916,down,/home/pi/arducam/album-V2/IMG_1593338960.png,big
6,1396.58662,22366.82581,8.77551,0.28132,1975.19362,795.48036,-4,0.7070631485737586,down,/home/pi/arducam/album-V2/IMG_1593338963.png,big
7,795.48036,20458.27795,8.37781,0.22335,1396.58662,514.61086,-5,0.5695889883292738,down,/home/pi/arducam/album-V2/IMG_1593338965.png,big
8,514.61086,17453.01038,6.99524,0.17321,795.48036,375.05723,-6,0.6469183726924446,down,/home/pi/arducam/album-V2/IMG_1593338967.png,big
9,375.05723,14762.1134,6.05164,0.09692,514.61086,315.17053,-7,0.7288171687632088,down,/home/pi/arducam/album-V2/IMG_1593338969.png,big
10,315.17053,13498.30054,5.55945,0.06813,375.05723,315.17053,-8,0.8403265016381632,down,/home/pi/arducam/album-V2/IMG_1593338972.png,big
1,1555.80689,15842.6488,10.95178,0.31163,1555.80689,1562.19939,4,0,up,/home/pi/arducam/album-V2/IMG_1593339058.png,big
2,1562.19939,15721.03906,10.81775,0.29535,1555.80689,1565152,3,1.004108800418026,up,/home/pi/arducam/album-V2/IMG_1593339060.png,big
3,1565152,15770.31116,10.89307,0.29167,1562.19939,1551.18756,2,1.001890034024402,up,/home/pi/arducam/album-V2/IMG_1593339062.png,small
4,1551.18756,15433.47607,10.44849,0.25891,1565152,1610.20745,1,0.9910779016990043,down,/home/pi/arducam/album-V2/IMG_1593339065.png,small
5,1610.20745,17066.14038,11.10999,0.36691,1551.18756,1037.23603,0,1.0380481970858508,up,/home/pi/arducam/album-V2/IMG_1593339067.png,small
6,1037.23603,17939.59485,9.48108,0.24057,1610.20745,631.56672,-1,0.6441629803662876,down,/home/pi/arducam/album-V2/IMG_1593339069.png,small
7,631.56672,16738.95569,8.36462,0.1878,1037.23603,421.74639,-2,0.6088939274506305,down,/home/pi/arducam/album-V2/IMG_1593339072.png,small
8,421.74639,14449.55383,6.90625,0.1373,631.56672,311.91181,-3,0.6677780456829644,down,/home/pi/arducam/album-V2/IMG_1593339074.png,big
9,311.91181,12584.89734,6.03027,0.10173,421.74639,265.60612,-4,0.7395719735739765,down,/home/pi/arducam/album-V2/IMG_1593339076.png,big
10,265.60612,11549.0625,5.57898,0.07795,311.91181,265.60612,-5,0.8515423638495765,down,/home/pi/arducam/album-V2/IMG_1593339079.png,big
1,1205.07704,13440.16577,9.98206,0.29783,1205.07704,1205.83099,4,0,up,/home/pi/arducam/album-V2/IMG_1593339496.png,big
2,1205.83099,13716.3136,10.2052,0.30512,1205.07704,1196897,3,1.000625644647582,up,/home/pi/arducam/album-V2/IMG_1593339498.png,big
3,1196897,13642.01611,10.18469,0.31155,1205.83099,1182.58033,2,0.9925910097898546,down,/home/pi/arducam/album-V2/IMG_1593339500.png,small
4,1182.58033,13318.46411,10.02063,0.33781,1196897,1223.28906,1,0.9880385112503416,down,/home/pi/arducam/album-V2/IMG_1593339503.png,small
5,1223.28906,14758.57495,10.68701,0.3853,1182.58033,787.24669,0,1.0344236488357625,up,/home/pi/arducam/album-V2/IMG_1593339505.png,small
6,787.24669,15116.76685,8.79224,0.34259,1223.28906,521.82421,-1,0.6435491951509809,down,/home/pi/arducam/album-V2/IMG_1593339507.png,small
7,521.82421,14132.72998,7.56409,0.24178,787.24669,368.42473,-2,0.6628471311832381,down,/home/pi/arducam/album-V2/IMG_1593339509.png,small
8,368.42473,12383.46497,6.4801,0.18854,521.82421,280.37047,-3,0.7060322670732353,down,/home/pi/arducam/album-V2/IMG_1593339512.png,big
9,280.37047,11037.4364,5.83362,0.12057,368.42473,243.17421,-4,0.7609979655817349,down,/home/pi/arducam/album-V2/IMG_1593339514.png,big
10,243.17421,10260.90942,5.45349,0.1198,280.37047,243.17421,-5,0.8673317485967762,down,/home/pi/arducam/album-V2/IMG_1593339516.png,big
1,1437.27627,15382.88062,10.51233,0.33114,1437.27627,1431.2618,4,0,up,/home/pi/arducam/album-V2/IMG_1593339535.png,big
2,1431.2618,15316.30396,10.42236,0.34513,1437.27627,1431.55914,3,0.9958153695809644,down,/home/pi/arducam/album-V2/IMG_1593339537.png,big
3,1431.55914,15351.88721,10.47974,0.36304,1431.2618,1444.87829,2,1.000207746758839,up,/home/pi/arducam/album-V2/IMG_1593339539.png,small
4,1444.87829,15345.87317,10.35999,0.3296,1431.55914,1524.99642,1,1.0093039467443867,up,/home/pi/arducam/album-V2/IMG_1593339541.png,small
5,1524.99642,17808.53479,10.74219,0.36564,1444.87829,946.56952,0,1.055449743106044,up,/home/pi/arducam/album-V2/IMG_1593339544.png,small
6,946.56952,18130.55212,8.96313,0.27816,1524.99642,629.54016,-1,0.6207027817153827,down,/home/pi/arducam/album-V2/IMG_1593339546.png,small
7,629.54016,17071.75867,8.09814,0.19149,946.56952,435.60052,-2,0.665075461124081,down,/home/pi/arducam/album-V2/IMG_1593339548.png,small
8,435.60052,14869.70239,6.87256,0.14824,629.54016,324.35484,-3,0.6919344430703198,down,/home/pi/arducam/album-V2/IMG_1593339551.png,big
9,324.35484,13032.5094,6.16016,0.12081,435.60052,276.18975,-4,0.7446153645546613,down,/home/pi/arducam/album-V2/IMG_1593339553.png,big
10,276.18975,11931.89197,5.66919,0.10427,324.35484,276.18975,-5,0.8515049443997814,down,/home/pi/arducam/album-V2/IMG_1593339555.png,big
1,1110.11042,12776453,10078,0.34452,1110.11042,1089.32568,4,0,up,/home/pi/arducam/album-V2/IMG_1593339628.png,big
2,1089.32568,12539.49011,10.00854,0.33333,1110.11042,1093.19205,3,0.9812768715385988,down,/home/pi/arducam/album-V2/IMG_1593339631.png,big
3,1093.19205,12564.53137,10.03369,0.34802,1089.32568,1053.13578,2,1.0035493242021065,up,/home/pi/arducam/album-V2/IMG_1593339633.png,small
4,1053.13578,12227.68616,9.82336,0.33333,1093.19205,1113.34612,1,0.9633584327657706,down,/home/pi/arducam/album-V2/IMG_1593339635.png,small
5,1113.34612,13864.42468,10.37061,0.38514,1053.13578,704.8371,0,1.0571724379167897,up,/home/pi/arducam/album-V2/IMG_1593339637.png,small
6,704.8371,13901.75964,8.6377,0.37089,1113.34612,468.80142,-1,0.6330799446267438,down,/home/pi/arducam/album-V2/IMG_1593339640.png,small
7,468.80142,12947.0647,7.2605,0.24654,704.8371,329.85592,-2,0.665120238421048,down,/home/pi/arducam/album-V2/IMG_1593339642.png,small
8,329.85592,11246.28748,6.16565,0.16912,468.80142,255439,-3,0.7036154455334201,down,/home/pi/arducam/album-V2/IMG_1593339644.png,big
9,255439,10062.62244,5.5918,0.15366,329.85592,220.90218,-4,0.7743956816054718,down,/home/pi/arducam/album-V2/IMG_1593339647.png,big
10,220.90218,9314.78601,5.27002,0.11491,255439,220.90218,-5,0.8647942561629195,down,/home/pi/arducam/album-V2/IMG_1593339649.png,big
1,2179.26365,21646.61511,10.55933,0.42831,2179.26365,2169.2826,3,0,up,/home/pi/arducam/album-V2/IMG_1593339817.png,big
2,2169.2826,21590.9917,10.52185,0.45624,2179.26365,2180.95231,2,0.9954199896832125,down,/home/pi/arducam/album-V2/IMG_1593339819.png,small
3,2180.95231,21857.73145,10.57886,0.42251,2169.2826,2245.2762,1,1.005379525009789,up,/home/pi/arducam/album-V2/IMG_1593339821.png,small
4,2245.2762,22060.99854,10.70862,0.41728,2180.95231,2188.12548,0,1.029493487640727,up,/home/pi/arducam/album-V2/IMG_1593339824.png,small
5,2188.12548,24294.94409,10.97778,0.47584,2245.2762,1346.56169,-1,0.9745462406807681,down,/home/pi/arducam/album-V2/IMG_1593339826.png,small
6,1346.56169,24574.57825,9.31689,394,2188.12548,788.15757,-2,0.6153950960801389,down,/home/pi/arducam/album-V2/IMG_1593339828.png,small
7,788.15757,21835.34106,8.6051,0.26565,1346.56169,526.2772,-3,0.5853111490198417,down,/home/pi/arducam/album-V2/IMG_1593339831.png,big
8,526.2772,18719.15503,7.33716,0.17073,788.15757,386.22978,-4,0.6677309462370576,down,/home/pi/arducam/album-V2/IMG_1593339833.png,big
9,386.22978,16258.41296,6.38794,0.12758,526.2772,335.46406,-5,0.7338903908434566,down,/home/pi/arducam/album-V2/IMG_1593339835.png,big
10,335.46406,15177.96838,6.00085,0.10271,386.22978,335.46406,-6,0.868560834433844,down,/home/pi/arducam/album-V2/IMG_1593339837.png,big
1,1836.03322,21400.47302,11.59204,0.36022,1836.03322,1824.07541,4,0,up,/home/pi/arducam/album-V2/IMG_1593339895.png,big
2,1824.07541,21281.87354,11.42798,0.35432,1836.03322,1826.41142,3,0.9934871494318605,down,/home/pi/arducam/album-V2/IMG_1593339897.png,big
3,1826.41142,21373.33252,11.38586,0.35638,1824.07541,1842.86689,2,1.0012806542904933,up,/home/pi/arducam/album-V2/IMG_1593339899.png,small
4,1842.86689,21205.61084,11.40271,0.38376,1826.41142,1916.55315,1,1.0090097279396117,up,/home/pi/arducam/album-V2/IMG_1593339902.png,small
5,1916.55315,23451.15308,11.55237,0.40147,1842.86689,1092.63842,0,1.0399845807637251,up,/home/pi/arducam/album-V2/IMG_1593339904.png,small
6,1092.63842,22411.32251,10.05469,0.35065,1916.55315,648.17712,-1,0.5701059842770341,down,/home/pi/arducam/album-V2/IMG_1593339906.png,small
7,648.17712,19519.43738,8.58911,0.24309,1092.63842,449.56618,-2,0.5932219736516312,down,/home/pi/arducam/album-V2/IMG_1593339908.png,small
8,449.56618,16723.82996,7.37939,0.19811,648.17712,340.41187,-3,0.6935853891294405,down,/home/pi/arducam/album-V2/IMG_1593339911.png,big
9,340.41187,14727.62732,6.56921,0.15222,449.56618,295.81612,-4,0.7572007974443274,down,/home/pi/arducam/album-V2/IMG_1593339913.png,big
10,295.81612,13635.46204,6.13525,112,340.41187,295.81612,-5,0.8689947268877551,down,/home/pi/arducam/album-V2/IMG_1593339915.png,big
1,1520.65856,16531.57983,9.94043,0.24533,1520.65856,1534.27807,4,0,up,/home/pi/arducam/album-V2/IMG_1593340073.png,big
2,1534.27807,16657.47327,9.99536,0.27487,1520.65856,1529.14781,3,1.0089563235023646,up,/home/pi/arducam/album-V2/IMG_1593340075.png,big
3,1529.14781,16618.61987,9.94202,0.25197,1534.27807,1478.45159,2,0.9966562384613891,down,/home/pi/arducam/album-V2/IMG_1593340077.png,small
4,1478.45159,16052.8208,9.85852,248,1529.14781,1549.52101,1,0.9668467497592662,down,/home/pi/arducam/album-V2/IMG_1593340080.png,small
5,1549.52101,18464.11743,10.32886,0.29006,1478.45159,987.36929,0,1.048070170495065,up,/home/pi/arducam/album-V2/IMG_1593340082.png,small
6,987.36929,19077.92261,8.45349,241,1549.52101,626.22859,-1,0.6372093592974257,down,/home/pi/arducam/album-V2/IMG_1593340084.png,small
7,626.22859,17607.7677,7.7981,0.18006,987.36929,423.18143,-2,0.6342394850056559,down,/home/pi/arducam/album-V2/IMG_1593340086.png,small
8,423.18143,15223.2251,6.65649,0.12658,626.22859,319.09525,-3,0.6757619130739463,down,/home/pi/arducam/album-V2/IMG_1593340089.png,big
9,319.09525,13352.03503,5.87988,0.09425,423.18143,274.78889,-4,0.7540388764223421,down,/home/pi/arducam/album-V2/IMG_1593340091.png,big
10,274.78889,12298.33679,5.49756,0.08068,319.09525,274.78889,-5,0.8611500484573179,down,/home/pi/arducam/album-V2/IMG_1593340093.png,big
1,1273.8498,14603.22278,9.7644,0.23387,1273.8498,1287.38447,4,0,up,/home/pi/arducam/album-V2/IMG_1593340854.png,big
2,1287.38447,14599.65002,9.75208,0.22102,1273.8498,1283.01046,3,1.0106250124622227,up,/home/pi/arducam/album-V2/IMG_1593340856.png,big
3,1283.01046,14552.87524,9.63391,0.23656,1287.38447,1223.45129,2,0.9966024058065576,down,/home/pi/arducam/album-V2/IMG_1593340859.png,small
4,1223.45129,14001.16846,9.46924,0.2411,1283.01046,1311.07357,1,0.9535785779953813,down,/home/pi/arducam/album-V2/IMG_1593340861.png,small
5,1311.07357,16142.31763,10.20898,0.32143,1223.45129,822.56938,0,1.0716189362961888,up,/home/pi/arducam/album-V2/IMG_1593340863.png,small
6,822.56938,16211.54102,8.38635,0.23797,1311.07357,511.80867,-1,0.6274013898396259,down,/home/pi/arducam/album-V2/IMG_1593340866.png,small
7,511.80867,14724.74158,7.23242,0.19415,822.56938,348.1345,-2,0.6222072963620406,down,/home/pi/arducam/album-V2/IMG_1593340868.png,small
8,348.1345,12743.55981,6.1449,0.1372,511.80867,263.13509,-3,0.6802043818444888,down,/home/pi/arducam/album-V2/IMG_1593340870.png,big
9,263.13509,11393.90833,5.51318,0.09535,348.1345,224.59528,-4,0.7558431870440878,down,/home/pi/arducam/album-V2/IMG_1593340872.png,big
10,224.59528,10412.24585,5.16321,0.07888,263.13509,224.59528,-5,0.853536029725264,down,/home/pi/arducam/album-V2/IMG_1593340875.png,big
1,1488.55219,16763.18323,8.61206,0.55391,1488.55219,1485.94387,4,0,up,/home/pi/arducam/album-V2/IMG_1593342449.png,big
2,1485.94387,16753.21887,8.58289,0.55602,1488.55219,1500.56189,3,0.998247747027264,down,/home/pi/arducam/album-V2/IMG_1593342451.png,big
3,1500.56189,16806.81335,8.6012,0.57023,1485.94387,1490.02706,2,1.0098375317501056,up,/home/pi/arducam/album-V2/IMG_1593342453.png,small
4,1490.02706,16539.82275,8.72754,0.56344,1500.56189,1544.55999,1,0.9929794098662601,down,/home/pi/arducam/album-V2/IMG_1593342456.png,small
5,1544.55999,18777.18811,8.95422,0.54048,1490.02706,851.1219,0,1.0365986172090056,up,/home/pi/arducam/album-V2/IMG_1593342458.png,small
6,851.1219,17968.02771,7.41113,0.41379,1544.55999,439.16705,-1,0.5510448966116234,down,/home/pi/arducam/album-V2/IMG_1593342460.png,small
7,439.16705,15089.51062,6.24719,0.31881,851.1219,295.2119,-2,0.5159860767300195,down,/home/pi/arducam/album-V2/IMG_1593342462.png,small
8,295.2119,12802.92212,5.22327,0.1682,439.16705,218.40884,-3,0.6722086732144409,down,/home/pi/arducam/album-V2/IMG_1593342465.png,big
9,218.40884,10982.4303,4.4917,0.10352,295.2119,190.95079,-4,0.7398375200999688,down,/home/pi/arducam/album-V2/IMG_1593342467.png,big
10,190.95079,10283.62817,4.17834,0.09234,218.40884,190.95079,-5,0.8742814164481622,down,/home/pi/arducam/album-V2/IMG_1593342469.png,big
1,1407.54266,16254.86182,9.5293,0.43519,1407.54266,1408.20054,3,0,up,/home/pi/arducam/album-V2/IMG_1593342550.png,big
2,1408.20054,16277.89624,9.54688,0.40845,1407.54266,1407.7809,2,1.000467396135617,up,/home/pi/arducam/album-V2/IMG_1593342553.png,small
3,1407.7809,16304.39355,9.54089,0.41686,1408.20054,1436.93232,1,0.9997020026707275,down,/home/pi/arducam/album-V2/IMG_1593342555.png,small
4,1436.93232,16159.52002,9.59656,0.42725,1407.7809,1372.50063,0,1.0207073558108366,up,/home/pi/arducam/album-V2/IMG_1593342557.png,small
5,1372.50063,17588.22449,9.82666,0.47529,1436.93232,782.29297,-1,0.9551602472133135,down,/home/pi/arducam/album-V2/IMG_1593342559.png,small
6,782.29297,17088.82336,8.02722,0.35499,1372.50063,411.74439,-2,0.5699764013951673,down,/home/pi/arducam/album-V2/IMG_1593342562.png,small
7,411.74439,14669.74463,6.60303,0.25908,782.29297,265.47189,-3,0.526330167584147,down,/home/pi/arducam/album-V2/IMG_1593342564.png,big
8,265.47189,12207.96448,5.46265,0.13348,411.74439,199.55645,-4,0.6447492581501838,down,/home/pi/arducam/album-V2/IMG_1593342566.png,big
9,199.55645,10689.59961,4.79871,0.10851,265.47189,167.51148,-5,0.751704634340005,down,/home/pi/arducam/album-V2/IMG_1593342569.png,big
10,167.51148,9644.18994,4.36621,0.0919,199.55645,167.51148,-6,0.8394190215350092,down,/home/pi/arducam/album-V2/IMG_1593342571.png,big
1,81.92845,871.9054,2.83252,0.75153,81.92845,82.47116,2,0,up,/home/pi/arducam/album-V2/IMG_1593355325.png,small
2,82.47116,876.37207,2.82764,0.75786,81.92845,84.92745,1,1.0066241946478909,up,/home/pi/arducam/album-V2/IMG_1593355328.png,small
3,84.92745,893.76233,2.86975,0.75776,82.47116,81.80636,0,1.0297836237540492,up,/home/pi/arducam/album-V2/IMG_1593355330.png,small
4,81.80636,868.08081,2.86829,0.81928,84.92745,52.45657,-1,0.9632499268493285,down,/home/pi/arducam/album-V2/IMG_1593355332.png,small
5,52.45657,747703,2.50476,0.64923,81.80636,25216,-2,0.6412285059499041,down,/home/pi/arducam/album-V2/IMG_1593355335.png,small
6,25216,527.24243,1.97632,0.57605,52.45657,14.74278,-3,0.4807024172567898,down,/home/pi/arducam/album-V2/IMG_1593355337.png,big
7,14.74278,360.51099,1.66821,0.43985,25216,11.3512,-4,0.5846597398477157,down,/home/pi/arducam/album-V2/IMG_1593355339.png,big
8,11.3512,260.01489,1.51831,0.28049,14.74278,10.27635,-5,0.7699497652410197,down,/home/pi/arducam/album-V2/IMG_1593355341.png,big
9,10.27635,216.91174,1.45593,0.18142,11.3512,9.80258,-6,0.9053095707942773,down,/home/pi/arducam/album-V2/IMG_1593355344.png,big
10,9.80258,196.22876,1.42615,0.25359,10.27635,9.80258,-7,0.9538970548881656,down,/home/pi/arducam/album-V2/IMG_1593355346.png,big
1,83.86424,928.90894,2.79956,0.75466,83.86424,86.39099,3,0,up,/home/pi/arducam/album-V2/IMG_1593355991.png,big
2,86.39099,955.14612,2.87451,0.71261,83.86424,87.74773,2,1.0301290514288333,up,/home/pi/arducam/album-V2/IMG_1593355994.png,small
3,87.74773,970.49536,2.87463,0.70031,86.39099,91.61523,1,1.0157046469776536,up,/home/pi/arducam/album-V2/IMG_1593355996.png,small
4,91.61523,979.70483,2.91797,0.67391,87.74773,74.17523,0,1.0440752142534058,up,/home/pi/arducam/album-V2/IMG_1593355998.png,small
5,74.17523,879.05762,2.68274,0.66667,91.61523,37.24883,-1,0.8096386375933347,down,/home/pi/arducam/album-V2/IMG_1593356000.png,small
6,37.24883,631.83203,2.21924,0.57764,74.17523,19.04589,-2,0.5021734344470519,down,/home/pi/arducam/album-V2/IMG_1593356003.png,small
7,19.04589,442.4801,1.82104,0.43706,37.24883,13.04407,-3,0.5113151205017715,down,/home/pi/arducam/album-V2/IMG_1593356005.png,big
8,13.04407,320.11145,1.62219,0.31203,19.04589,11.00131,-4,0.684875844604794,down,/home/pi/arducam/album-V2/IMG_1593356007.png,big
9,11.00131,241.58618,1.50854,0.23431,13.04407,10.15686,-5,0.8433955046239403,down,/home/pi/arducam/album-V2/IMG_1593356010.png,big
10,10.15686,211.98828,1.45166,0.19753,11.00131,10.15686,-6,0.9232409594857339,down,/home/pi/arducam/album-V2/IMG_1593356012.png,big
1,78.1048,886.13464,2.79639,0.70393,78.1048,78.45068,3,0,up,/home/pi/arducam/album-V2/IMG_1593356137.png,big
2,78.45068,882.21997,2.78674,0.71429,78.1048,78.0603,2,1.0044284090094335,up,/home/pi/arducam/album-V2/IMG_1593356139.png,small
3,78.0603,886.59033,2.79382,0.73636,78.45068,85.57542,1,0.9950238799714674,down,/home/pi/arducam/album-V2/IMG_1593356142.png,small
4,85.57542,861.70728,2.82947,725,78.0603,70.94562,0,1.0962732656676952,up,/home/pi/arducam/album-V2/IMG_1593356144.png,small
5,70.94562,801.07629,2.62585,0.69605,85.57542,36.42846,-1,0.8290420309944142,down,/home/pi/arducam/album-V2/IMG_1593356146.png,small
6,36.42846,585.27368,2.19385,0.58194,70.94562,18.31338,-2,0.5134701761715522,down,/home/pi/arducam/album-V2/IMG_1593356148.png,small
7,18.31338,399.58398,1.78137,0.4931,36.42846,12.67357,-3,0.5027217730313057,down,/home/pi/arducam/album-V2/IMG_1593356151.png,big
8,12.67357,280.87073,1.59106,0.36614,18.31338,10.53008,-4,0.6920388262570863,down,/home/pi/arducam/album-V2/IMG_1593356153.png,big
9,10.53008,211.89087,1.47839,0.2636,12.67357,10.02046,-5,0.8308692815047378,down,/home/pi/arducam/album-V2/IMG_1593356155.png,big
10,10.02046,183.76978,1.44568,0.22414,10.53008,10.02046,-6,0.9516034066217921,down,/home/pi/arducam/album-V2/IMG_1593356157.png,big
1,73.82608,917.41443,2.83789,0.65635,73.82608,73.18338,3,0,up,/home/pi/arducam/album-V2/IMG_1593356221.png,big
2,73.18338,918.8269,2.83179,0.66349,73.82608,72.61631,2,0.9912944043622524,down,/home/pi/arducam/album-V2/IMG_1593356224.png,small
3,72.61631,931.78491,2.85852,0.68966,73.18338,75.2323,1,0.9922513827593096,down,/home/pi/arducam/album-V2/IMG_1593356226.png,small
4,75.2323,942.27832,2.87988,0.65902,72.61631,64.05022,0,1.036024826929377,up,/home/pi/arducam/album-V2/IMG_1593356228.png,small
5,64.05022,874.00525,2.66443,0.70805,75.2323,39.12537,-1,0.8513659691382558,down,/home/pi/arducam/album-V2/IMG_1593356230.png,small
6,39.12537,691.93665,2.28992,0.55849,64.05022,20.9541,-2,0.6108545762996599,down,/home/pi/arducam/album-V2/IMG_1593356233.png,small
7,20.9541,470.46301,1.89343,0.49818,39.12537,13.85712,-3,0.5355629863692024,down,/home/pi/arducam/album-V2/IMG_1593356235.png,big
8,13.85712,330.23706,1.66003,0.41434,20.9541,11.28058,-4,0.6613082881154524,down,/home/pi/arducam/album-V2/IMG_1593356237.png,big
9,11.28058,255.25879,1.52783,0.27511,13.85712,10.2623,-5,0.8140638170124816,down,/home/pi/arducam/album-V2/IMG_1593356239.png,big
10,10.2623,212.67224,1.46094,0.25439,11.28058,10.2623,-6,0.9097315918153144,down,/home/pi/arducam/album-V2/IMG_1593356242.png,big
1,81.89917,1434.26465,3.14832,0.63376,81.89917,79.36863,0,0,up,/home/pi/arducam/album-V2/IMG_1593356275.png,small
2,79.36863,1388.92627,3.15051,0.63043,81.89917,79.31341,-1,0.969101762569755,down,/home/pi/arducam/album-V2/IMG_1593356278.png,small
3,79.31341,1388.99146,3.14246,0.60635,79.36863,80.07644,-2,0.9993042591260554,down,/home/pi/arducam/album-V2/IMG_1593356280.png,small
4,80.07644,1348.63672,3.13904,0.62305,79.31341,74.28421,-3,1.0096204412343386,up,/home/pi/arducam/album-V2/IMG_1593356282.png,big
5,74.28421,1264.72925,3.00232,0.63636,80.07644,55.42102,-4,0.9276662399077681,down,/home/pi/arducam/album-V2/IMG_1593356284.png,big
6,55.42102,1194.27649,2.66675,0.55949,74.28421,31.53234,-5,0.7460673001705207,down,/home/pi/arducam/album-V2/IMG_1593356287.png,big
7,31.53234,923.4635,2.21338,0.41026,55.42102,20.70862,-6,0.5689599361397535,down,/home/pi/arducam/album-V2/IMG_1593356289.png,big
8,20.70862,738.40955,1.91272,0.19565,31.53234,20.34601,-7,0.6567422525572159,down,/home/pi/arducam/album-V2/IMG_1593356291.png,big
9,20.34601,758.86682,1.8844,0.17555,20.70862,14.18181,-8,0.9824899003410174,down,/home/pi/arducam/album-V2/IMG_1593356294.png,big
10,14.18181,538.38147,1.63428,0.05075,20.34601,14.18181,-9,0.6970315064231267,down,/home/pi/arducam/album-V2/IMG_1593356297.png,big
1,67.47435,1280.55786,2.82776,0.51282,67.47435,90.35247,3,0,up,/home/pi/arducam/album-V2/IMG_1593356319.png,big
2,90.35247,1688.26367,3.24756,0.49158,67.47435,89.64849,2,1.3390639554141683,up,/home/pi/arducam/album-V2/IMG_1593356321.png,small
3,89.64849,1682.26709,3.23621,0.47231,90.35247,95.71511,1,0.9922085140561182,down,/home/pi/arducam/album-V2/IMG_1593356323.png,small
4,95.71511,1708.5022,3.29517,0.56209,89.64849,89.83324,0,1.0676711899999654,up,/home/pi/arducam/album-V2/IMG_1593356325.png,small
5,89.83324,1610.49426,3.15356,0.57827,95.71511,56.85797,-1,0.9385481560852827,down,/home/pi/arducam/album-V2/IMG_1593356328.png,small
6,56.85797,1369.82727,2.68494,0.41722,89.83324,32.2589,-2,0.6329279674205227,down,/home/pi/arducam/album-V2/IMG_1593356330.png,small
7,32.2589,1066.50354,2.22437,0.29167,56.85797,21.58361,-3,0.56735933414436,down,/home/pi/arducam/album-V2/IMG_1593356332.png,big
8,21.58361,850.70203,1.9552,0.15896,32.2589,16.23602,-4,0.669074580968353,down,/home/pi/arducam/album-V2/IMG_1593356334.png,big
9,16.23602,625.11975,1.71912,0.08012,21.58361,14.62143,-5,0.7522383882955631,down,/home/pi/arducam/album-V2/IMG_1593356337.png,big
10,14.62143,539.20813,1.63367,0.07122,16.23602,14.62143,-6,0.900555062139613,down,/home/pi/arducam/album-V2/IMG_1593356339.png,big
